
printing unique entries in spam set

printing unique entries in normal set
109110
89512

printing unique entries in spam set
a [43, 0.00039409769956924204]
addasite [1, 9.165062780680048e-06]
added [5, 4.582531390340024e-05]
addict [1, 9.165062780680048e-06]
addition [14, 0.00012831087892952066]
additional [71, 0.0006507194574282834]
additionally [2, 1.8330125561360096e-05]
addittional [1, 9.165062780680048e-06]
addon [2, 1.8330125561360096e-05]
address [954, 0.008743469892768765]
addressed [6, 5.4990376684080284e-05]
addresses [31, 0.00028411694620108146]
adds [1, 9.165062780680048e-06]
addweb [1, 9.165062780680048e-06]
adhering [1, 9.165062780680048e-06]
adjust [7, 6.415543946476033e-05]
adjustable [1, 9.165062780680048e-06]
adlu [6, 5.4990376684080284e-05]
adm [1, 9.165062780680048e-06]
administration [7, 6.415543946476033e-05]
administrative [4, 3.666025112272019e-05]
administrator [4, 3.666025112272019e-05]
admiral [1, 9.165062780680048e-06]
admirer [1, 9.165062780680048e-06]
admit [2, 1.8330125561360096e-05]
adobe [1, 9.165062780680048e-06]
adopt [1, 9.165062780680048e-06]
adoption [3, 2.7495188342040142e-05]
adresa [1, 9.165062780680048e-06]
adressee [1, 9.165062780680048e-06]
adrive [1, 9.165062780680048e-06]
ads [9, 8.248556502612044e-05]
adsheet [2, 1.8330125561360096e-05]
adtek [4, 3.666025112272019e-05]
adtekphotomask [2, 1.8330125561360096e-05]
adult [93, 0.0008523508386032444]
adulterous [1, 9.165062780680048e-06]
adults [11, 0.00010081569058748053]
adv [7, 6.415543946476033e-05]
advance [24, 0.00021996150673632113]
advancement [1, 9.165062780680048e-06]
advantage [69, 0.0006323893318669233]
advent [3, 2.7495188342040142e-05]
adventure [4, 3.666025112272019e-05]
adverse [1, 9.165062780680048e-06]
advert [1, 9.165062780680048e-06]
advertise [203, 0.0018605077444780497]
advertisement [111, 0.0010173219686554853]
advertiser [19, 0.0001741361928329209]
advertisers [1, 9.165062780680048e-06]
advertises [1, 9.165062780680048e-06]
advertising [12, 0.00010998075336816057]
advertisment [1, 9.165062780680048e-06]
advertse [1, 9.165062780680048e-06]
advice [7, 6.415543946476033e-05]
advise [7, 6.415543946476033e-05]
advisory [4, 3.666025112272019e-05]
advocate [1, 9.165062780680048e-06]
aeasy [1, 9.165062780680048e-06]
aedward [3, 2.7495188342040142e-05]
aeroad [1, 9.165062780680048e-06]
aerosmith [1, 9.165062780680048e-06]
aespecially [1, 9.165062780680048e-06]
aever [1, 9.165062780680048e-06]
affair [9, 8.248556502612044e-05]
affect [3, 2.7495188342040142e-05]
affidavit [2, 1.8330125561360096e-05]
affiliate [5, 4.582531390340024e-05]
affiliation [1, 9.165062780680048e-06]
affix [1, 9.165062780680048e-06]
affixed [2, 1.8330125561360096e-05]
affodable [1, 9.165062780680048e-06]
afford [27, 0.0002474566950783613]
affordable [14, 0.00012831087892952066]
afor [1, 9.165062780680048e-06]
aformulum [1, 9.165062780680048e-06]
afraid [3, 2.7495188342040142e-05]
aframerus [1, 9.165062780680048e-06]
africa [2, 1.8330125561360096e-05]
african [4, 3.666025112272019e-05]
afrom [1, 9.165062780680048e-06]
afrus [1, 9.165062780680048e-06]
after [176, 0.0016130510493996884]
afternoon [1, 9.165062780680048e-06]
afterward [6, 5.4990376684080284e-05]
again [135, 0.0012372834753918065]
against [41, 0.00037576757400788197]
age [38, 0.0003482723856658418]
agencies [1, 9.165062780680048e-06]
agency [29, 0.0002657868206397214]
agent [20, 0.00018330125561360095]
aggravation [1, 9.165062780680048e-06]
aggressive [1, 9.165062780680048e-06]
ago [33, 0.0003024470717624416]
agp [1, 9.165062780680048e-06]
agree [15, 0.00013747594171020073]
agreeing [1, 9.165062780680048e-06]
agreement [10, 9.165062780680047e-05]
aguaranteed [1, 9.165062780680048e-06]
agykd [1, 9.165062780680048e-06]
ahead [16, 0.00014664100449088077]
ahiawatha [1, 9.165062780680048e-06]
ai [7, 6.415543946476033e-05]
aid [4, 3.666025112272019e-05]
aida [4, 3.666025112272019e-05]
aif [1, 9.165062780680048e-06]
ailment [3, 2.7495188342040142e-05]
aim [2, 1.8330125561360096e-05]
aime [1, 9.165062780680048e-06]
ain [1, 9.165062780680048e-06]
ainternet [1, 9.165062780680048e-06]
aiqhiouewo [1, 9.165062780680048e-06]
air [33, 0.0003024470717624416]
airborne [1, 9.165062780680048e-06]
airfare [1, 9.165062780680048e-06]
airline [1, 9.165062780680048e-06]
airtight [2, 1.8330125561360096e-05]
airwave [1, 9.165062780680048e-06]
aisb [1, 9.165062780680048e-06]
ait [2, 1.8330125561360096e-05]
aj [4, 3.666025112272019e-05]
ajh [1, 9.165062780680048e-06]
ak [3, 2.7495188342040142e-05]
akron [1, 9.165062780680048e-06]
al [4, 3.666025112272019e-05]
alabama [1, 9.165062780680048e-06]
aladin [2, 1.8330125561360096e-05]
alamo [4, 3.666025112272019e-05]
alan [8, 7.332050224544038e-05]
alani [4, 3.666025112272019e-05]
alaska [5, 4.582531390340024e-05]
alba [28, 0.0002566217578590413]
albert [1, 9.165062780680048e-06]
alberta [1, 9.165062780680048e-06]
albertson [2, 1.8330125561360096e-05]
album [39, 0.00035743744844652183]
alcancia [1, 9.165062780680048e-06]
alcohol [2, 1.8330125561360096e-05]
alert [3, 2.7495188342040142e-05]
algo [1, 9.165062780680048e-06]
algorithm [1, 9.165062780680048e-06]
alhambra [1, 9.165062780680048e-06]
alia [1, 9.165062780680048e-06]
align [1, 9.165062780680048e-06]
alignment [1, 9.165062780680048e-06]
alike [2, 1.8330125561360096e-05]
alimony [1, 9.165062780680048e-06]
alist [1, 9.165062780680048e-06]
alive [3, 2.7495188342040142e-05]
alkaline [1, 9.165062780680048e-06]
all [1, 9.165062780680048e-06]
allen [6, 5.4990376684080284e-05]
allesklar [1, 9.165062780680048e-06]
allot [3, 2.7495188342040142e-05]
allow [99, 0.0009073412152873247]
ally [1, 9.165062780680048e-06]
almost [52, 0.0004765832645953625]
alone [28, 0.0002566217578590413]
along [34, 0.0003116121345431216]
alot [5, 4.582531390340024e-05]
alphanumeric [1, 9.165062780680048e-06]
already [97, 0.0008890110897259646]
alster [2, 1.8330125561360096e-05]
alt [1, 9.165062780680048e-06]
alta [7, 6.415543946476033e-05]
altavista [2, 1.8330125561360096e-05]
alter [32, 0.00029328200898176153]
alteration [1, 9.165062780680048e-06]
alternative [5, 4.582531390340024e-05]
alternatively [1, 9.165062780680048e-06]
although [13, 0.00011914581614884062]
alvin [1, 9.165062780680048e-06]
alway [83, 0.000760700210796444]
always [54, 0.0004949133901567226]
alwaysfriend [2, 1.8330125561360096e-05]
am [36, 0.00032994226010448174]
amarket [1, 9.165062780680048e-06]
amass [6, 5.4990376684080284e-05]
amateur [15, 0.00013747594171020073]
amateurporn [1, 9.165062780680048e-06]
amaze [39, 0.00035743744844652183]
amazing [22, 0.00020163138117496106]
amazingly [3, 2.7495188342040142e-05]
amazon [5, 4.582531390340024e-05]
ambitious [2, 1.8330125561360096e-05]
ambra [16, 0.00014664100449088077]
ambraresource [1, 9.165062780680048e-06]
amcap [2, 1.8330125561360096e-05]
amd [11, 0.00010081569058748053]
amea [1, 9.165062780680048e-06]
amerchant [1, 9.165062780680048e-06]
america [38, 0.0003482723856658418]
american [55, 0.0005040784529374026]
americana [9, 8.248556502612044e-05]
americanet [2, 1.8330125561360096e-05]
americannet [1, 9.165062780680048e-06]
amex [10, 9.165062780680047e-05]
amidst [2, 1.8330125561360096e-05]
amil [3, 2.7495188342040142e-05]
amino [1, 9.165062780680048e-06]
aminolyze [1, 9.165062780680048e-06]
amnet [1, 9.165062780680048e-06]
among [2, 1.8330125561360096e-05]
amonth [1, 9.165062780680048e-06]
amorgo [1, 9.165062780680048e-06]
amorn [1, 9.165062780680048e-06]
amount [95, 0.0008706809641646046]
amounts [4, 3.666025112272019e-05]
amp [3, 2.7495188342040142e-05]
ams [2, 1.8330125561360096e-05]
amusement [1, 9.165062780680048e-06]
amwgodfniifpaxxosvgnhlnsmckvfyhfpcwiq [1, 9.165062780680048e-06]
amx [2, 1.8330125561360096e-05]
amy [1, 9.165062780680048e-06]
anal [2, 1.8330125561360096e-05]
analyse [1, 9.165062780680048e-06]
analysis [4, 3.666025112272019e-05]
analyst [3, 2.7495188342040142e-05]
analysts [1, 9.165062780680048e-06]
ancestor [2, 1.8330125561360096e-05]
ancient [4, 3.666025112272019e-05]
andalucia [3, 2.7495188342040142e-05]
andalucium [2, 1.8330125561360096e-05]
anderson [2, 1.8330125561360096e-05]
andrew [1, 9.165062780680048e-06]
androutsopoulo [1, 9.165062780680048e-06]
angel [6, 5.4990376684080284e-05]
angele [7, 6.415543946476033e-05]
angelfire [3, 2.7495188342040142e-05]
angels [4, 3.666025112272019e-05]
angry [5, 4.582531390340024e-05]
animal [1, 9.165062780680048e-06]
animation [2, 1.8330125561360096e-05]
ank [1, 9.165062780680048e-06]
ann [8, 7.332050224544038e-05]
annabel [8, 7.332050224544038e-05]
anne [1, 9.165062780680048e-06]
annette [1, 9.165062780680048e-06]
anniversarry [2, 1.8330125561360096e-05]
anniversary [4, 3.666025112272019e-05]
annonymous [2, 1.8330125561360096e-05]
annotate [2, 1.8330125561360096e-05]
announce [14, 0.00012831087892952066]
announcement [19, 0.0001741361928329209]
announcing [1, 9.165062780680048e-06]
annoy [2, 1.8330125561360096e-05]
annoying [1, 9.165062780680048e-06]
annual [15, 0.00013747594171020073]
annually [6, 5.4990376684080284e-05]
anoint [1, 9.165062780680048e-06]
anon [9, 8.248556502612044e-05]
anonymity [2, 1.8330125561360096e-05]
anonymous [2, 1.8330125561360096e-05]
anonymously [2, 1.8330125561360096e-05]
another [88, 0.0008065255246998442]
anow [1, 9.165062780680048e-06]
answer [86, 0.0007881953991384841]
answering [1, 9.165062780680048e-06]
answers [1, 9.165062780680048e-06]
anthony [1, 9.165062780680048e-06]
anti [3, 2.7495188342040142e-05]
anticipate [4, 3.666025112272019e-05]
anticipation [1, 9.165062780680048e-06]
anticlockwise [1, 9.165062780680048e-06]
anticommerce [3, 2.7495188342040142e-05]
antics [1, 9.165062780680048e-06]
antigua [1, 9.165062780680048e-06]
antiinternet [3, 2.7495188342040142e-05]
antispam [2, 1.8330125561360096e-05]
antonio [1, 9.165062780680048e-06]
anually [1, 9.165062780680048e-06]
anuchsvdxbffdeemihcpwryweowvsalnenqtalyqhwvvqm [1, 9.165062780680048e-06]
anuj [1, 9.165062780680048e-06]
anus [1, 9.165062780680048e-06]
anxiety [1, 9.165062780680048e-06]
anxious [3, 2.7495188342040142e-05]
anybody [2, 1.8330125561360096e-05]
anymore [3, 2.7495188342040142e-05]
anyone [116, 0.0010631472825588855]
anyplace [1, 9.165062780680048e-06]
anythe [2, 1.8330125561360096e-05]
anything [55, 0.0005040784529374026]
anytime [12, 0.00010998075336816057]
anyway [2, 1.8330125561360096e-05]
anywhere [82, 0.0007515351480157639]
anzwer [1, 9.165062780680048e-06]
aok [1, 9.165062780680048e-06]
aol [93, 0.0008523508386032444]
aorder [1, 9.165062780680048e-06]
apart [3, 2.7495188342040142e-05]
apartment [1, 9.165062780680048e-06]
api [1, 9.165062780680048e-06]
apic [1, 9.165062780680048e-06]
apiece [1, 9.165062780680048e-06]
apologize [16, 0.00014664100449088077]
apology [9, 8.248556502612044e-05]
app [1, 9.165062780680048e-06]
appartment [1, 9.165062780680048e-06]
appeal [11, 0.00010081569058748053]
appear [21, 0.000192466318394281]
appearance [3, 2.7495188342040142e-05]
appetite [1, 9.165062780680048e-06]
apple [2, 1.8330125561360096e-05]
applepie [1, 9.165062780680048e-06]
appliance [1, 9.165062780680048e-06]
appliances [1, 9.165062780680048e-06]
applicable [3, 2.7495188342040142e-05]
applicant [2, 1.8330125561360096e-05]
applicants [2, 1.8330125561360096e-05]
application [26, 0.00023829163229768124]
applications [1, 9.165062780680048e-06]
apply [23, 0.0002107964439556411]
appology [2, 1.8330125561360096e-05]
appraisal [1, 9.165062780680048e-06]
appraise [1, 9.165062780680048e-06]
appreciate [3, 2.7495188342040142e-05]
appreciation [1, 9.165062780680048e-06]
approach [16, 0.00014664100449088077]
appropriate [5, 4.582531390340024e-05]
approval [6, 5.4990376684080284e-05]
approve [10, 9.165062780680047e-05]
approved [1, 9.165062780680048e-06]
approx [4, 3.666025112272019e-05]
approximately [8, 7.332050224544038e-05]
apr [6, 5.4990376684080284e-05]
aprettywoman [2, 1.8330125561360096e-05]
april [11, 0.00010081569058748053]
apt [2, 1.8330125561360096e-05]
aqhyaldaxuahbafwjqwxrvzus [1, 9.165062780680048e-06]
aqua [2, 1.8330125561360096e-05]
ar [6, 5.4990376684080284e-05]
arbitrage [1, 9.165062780680048e-06]
arbor [2, 1.8330125561360096e-05]
archery [1, 9.165062780680048e-06]
architect [2, 1.8330125561360096e-05]
archive [3, 2.7495188342040142e-05]
are [90, 0.0008248556502612042]
area [59, 0.0005407387040601228]
aren [3, 2.7495188342040142e-05]
arena [4, 3.666025112272019e-05]
argentina [1, 9.165062780680048e-06]
argo [1, 9.165062780680048e-06]
arianna [1, 9.165062780680048e-06]
arise [1, 9.165062780680048e-06]
arkesinus [1, 9.165062780680048e-06]
arkg [1, 9.165062780680048e-06]
arlanda [4, 3.666025112272019e-05]
arlene [1, 9.165062780680048e-06]
arlington [2, 1.8330125561360096e-05]
arm [9, 8.248556502612044e-05]
armstrong [1, 9.165062780680048e-06]
army [2, 1.8330125561360096e-05]
arnold [1, 9.165062780680048e-06]
around [42, 0.000384932636788562]
arouse [1, 9.165062780680048e-06]
arr [1, 9.165062780680048e-06]
arrange [4, 3.666025112272019e-05]
arrangement [2, 1.8330125561360096e-05]
array [1, 9.165062780680048e-06]
arrival [1, 9.165062780680048e-06]
arrive [17, 0.0001558060672715608]
arround [1, 9.165062780680048e-06]
arsenal [5, 4.582531390340024e-05]
art [11, 0.00010081569058748053]
artesian [1, 9.165062780680048e-06]
arthritis [1, 9.165062780680048e-06]
arthur [3, 2.7495188342040142e-05]
article [9, 8.248556502612044e-05]
artificial [10, 9.165062780680047e-05]
artist [7, 6.415543946476033e-05]
aruba [1, 9.165062780680048e-06]
asame [1, 9.165062780680048e-06]
asap [3, 2.7495188342040142e-05]
aservice [1, 9.165062780680048e-06]
ashame [1, 9.165062780680048e-06]
asia [2, 1.8330125561360096e-05]
asian [9, 8.248556502612044e-05]
asiancityweb [1, 9.165062780680048e-06]
aside [12, 0.00010998075336816057]
asign [1, 9.165062780680048e-06]
asium [1, 9.165062780680048e-06]
ask [102, 0.0009348364036293648]
asked [7, 6.415543946476033e-05]
asleep [2, 1.8330125561360096e-05]
asm [1, 9.165062780680048e-06]
asmvln [1, 9.165062780680048e-06]
asmvrem [1, 9.165062780680048e-06]
asp [1, 9.165062780680048e-06]
aspam [4, 3.666025112272019e-05]
aspect [5, 4.582531390340024e-05]
aspent [1, 9.165062780680048e-06]
ass [2, 1.8330125561360096e-05]
assad [1, 9.165062780680048e-06]
assault [1, 9.165062780680048e-06]
assemble [2, 1.8330125561360096e-05]
assembly [3, 2.7495188342040142e-05]
assessment [3, 2.7495188342040142e-05]
asset [34, 0.0003116121345431216]
assetmax [2, 1.8330125561360096e-05]
assign [2, 1.8330125561360096e-05]
assignment [2, 1.8330125561360096e-05]
assist [9, 8.248556502612044e-05]
assistance [5, 4.582531390340024e-05]
assistant [1, 9.165062780680048e-06]
assoc [2, 1.8330125561360096e-05]
associate [47, 0.00043075795069196226]
associates [1, 9.165062780680048e-06]
association [4, 3.666025112272019e-05]
assume [65, 0.0005957290807442031]
assuming [8, 7.332050224544038e-05]
assurance [1, 9.165062780680048e-06]
assure [9, 8.248556502612044e-05]
astonishment [11, 0.00010081569058748053]
astound [1, 9.165062780680048e-06]
astronomer [1, 9.165062780680048e-06]
astronomy [1, 9.165062780680048e-06]
atag [1, 9.165062780680048e-06]
atarim [1, 9.165062780680048e-06]
ath [1, 9.165062780680048e-06]
athat [1, 9.165062780680048e-06]
athe [3, 2.7495188342040142e-05]
athis [1, 9.165062780680048e-06]
atla [1, 9.165062780680048e-06]
atlanta [3, 2.7495188342040142e-05]
atlantic [5, 4.582531390340024e-05]
atm [2, 1.8330125561360096e-05]
atmosphere [3, 2.7495188342040142e-05]
atp [1, 9.165062780680048e-06]
atry [1, 9.165062780680048e-06]
att [5, 4.582531390340024e-05]
attach [14, 0.00012831087892952066]
attache [1, 9.165062780680048e-06]
attack [11, 0.00010081569058748053]
attacker [1, 9.165062780680048e-06]
attain [3, 2.7495188342040142e-05]
attatch [2, 1.8330125561360096e-05]
attemp [1, 9.165062780680048e-06]
attempt [9, 8.248556502612044e-05]
attend [10, 9.165062780680047e-05]
attention [26, 0.00023829163229768124]
attest [1, 9.165062780680048e-06]
attitude [5, 4.582531390340024e-05]
attn [2, 1.8330125561360096e-05]
attorney [6, 5.4990376684080284e-05]
attract [2, 1.8330125561360096e-05]
attraction [1, 9.165062780680048e-06]
attractive [5, 4.582531390340024e-05]
atx [1, 9.165062780680048e-06]
auction [4, 3.666025112272019e-05]
audience [10, 9.165062780680047e-05]
audio [14, 0.00012831087892952066]
audit [8, 7.332050224544038e-05]
august [1, 9.165062780680048e-06]
aussie [1, 9.165062780680048e-06]
austin [1, 9.165062780680048e-06]
australia [3, 2.7495188342040142e-05]
australian [3, 2.7495188342040142e-05]
australium [3, 2.7495188342040142e-05]
austrium [1, 9.165062780680048e-06]
austronaut [1, 9.165062780680048e-06]
authentic [4, 3.666025112272019e-05]
authenticate [8, 7.332050224544038e-05]
author [7, 6.415543946476033e-05]
authority [1, 9.165062780680048e-06]
authorization [6, 5.4990376684080284e-05]
authorize [1, 9.165062780680048e-06]
auto [35, 0.0003207771973238017]
autoexposure [1, 9.165062780680048e-06]
automate [1, 9.165062780680048e-06]
automatic [7, 6.415543946476033e-05]
automatically [40, 0.0003666025112272019]
automatus [1, 9.165062780680048e-06]
automobile [5, 4.582531390340024e-05]
automotive [1, 9.165062780680048e-06]
autoresponder [5, 4.582531390340024e-05]
auxiliary [2, 1.8330125561360096e-05]
av [6, 5.4990376684080284e-05]
avail [1, 9.165062780680048e-06]
availability [2, 1.8330125561360096e-05]
available [152, 0.0013930895426633673]
availible [2, 1.8330125561360096e-05]
ave [20, 0.00018330125561360095]
avenue [12, 0.00010998075336816057]
average [20, 0.00018330125561360095]
avi [2, 1.8330125561360096e-05]
avid [2, 1.8330125561360096e-05]
avoid [18, 0.00016497113005224087]
avon [3, 2.7495188342040142e-05]
avorite [1, 9.165062780680048e-06]
avus [1, 9.165062780680048e-06]
aw [1, 9.165062780680048e-06]
awa [2, 1.8330125561360096e-05]
await [3, 2.7495188342040142e-05]
award [13, 0.00011914581614884062]
awards [2, 1.8330125561360096e-05]
aware [4, 3.666025112272019e-05]
awareness [1, 9.165062780680048e-06]
away [75, 0.0006873797085510036]
awesome [14, 0.00012831087892952066]
awful [1, 9.165062780680048e-06]
awhile [9, 8.248556502612044e-05]
axexd [1, 9.165062780680048e-06]
axp [1, 9.165062780680048e-06]
ay [1, 9.165062780680048e-06]
ayou [2, 1.8330125561360096e-05]
az [7, 6.415543946476033e-05]
b [74, 0.0006782146457703235]
ba [8, 7.332050224544038e-05]
babe [1, 9.165062780680048e-06]
babez [1, 9.165062780680048e-06]
babs [1, 9.165062780680048e-06]
bac [1, 9.165062780680048e-06]
baccarat [3, 2.7495188342040142e-05]
bachelor [2, 1.8330125561360096e-05]
back [174, 0.0015947209238383283]
backbone [1, 9.165062780680048e-06]
backend [4, 3.666025112272019e-05]
background [18, 0.00016497113005224087]
backgroundrepeat [1, 9.165062780680048e-06]
backing [1, 9.165062780680048e-06]
backpacker [1, 9.165062780680048e-06]
backround [2, 1.8330125561360096e-05]
backstage [7, 6.415543946476033e-05]
backstreet [3, 2.7495188342040142e-05]
backup [1, 9.165062780680048e-06]
backyard [3, 2.7495188342040142e-05]
bacs [1, 9.165062780680048e-06]
bad [14, 0.00012831087892952066]
baffle [1, 9.165062780680048e-06]
bag [7, 6.415543946476033e-05]
baggage [1, 9.165062780680048e-06]
bahama [3, 2.7495188342040142e-05]
bahamas [3, 2.7495188342040142e-05]
bake [1, 9.165062780680048e-06]
baker [1, 9.165062780680048e-06]
balance [11, 0.00010081569058748053]
ball [3, 2.7495188342040142e-05]
balled [1, 9.165062780680048e-06]
balloon [1, 9.165062780680048e-06]
baltimore [1, 9.165062780680048e-06]
ban [1, 9.165062780680048e-06]
banc [1, 9.165062780680048e-06]
bancurus [5, 4.582531390340024e-05]
band [17, 0.0001558060672715608]
bandera [1, 9.165062780680048e-06]
bandits [1, 9.165062780680048e-06]
bandwidth [1, 9.165062780680048e-06]
bang [13, 0.00011914581614884062]
bank [108, 0.0009898267803134452]
bankam [1, 9.165062780680048e-06]
bankcard [1, 9.165062780680048e-06]
banker [4, 3.666025112272019e-05]
bankruptcy [30, 0.00027495188342040145]
banner [14, 0.00012831087892952066]
bannerpromo [3, 2.7495188342040142e-05]
banshee [1, 9.165062780680048e-06]
baobab [1, 9.165062780680048e-06]
bar [2, 1.8330125561360096e-05]
barbara [1, 9.165062780680048e-06]
bardfield [1, 9.165062780680048e-06]
barefoot [2, 1.8330125561360096e-05]
barefootweb [1, 9.165062780680048e-06]
barely [2, 1.8330125561360096e-05]
bargain [18, 0.00016497113005224087]
barley [2, 1.8330125561360096e-05]
baroudi [1, 9.165062780680048e-06]
barron [1, 9.165062780680048e-06]
base [62, 0.0005682338924021629]
based [5, 4.582531390340024e-05]
basement [1, 9.165062780680048e-06]
basic [10, 9.165062780680047e-05]
basically [16, 0.00014664100449088077]
basis [20, 0.00018330125561360095]
basket [2, 1.8330125561360096e-05]
basketball [1, 9.165062780680048e-06]
basqiuat [2, 1.8330125561360096e-05]
basquiat [2, 1.8330125561360096e-05]
bass [1, 9.165062780680048e-06]
bastian [1, 9.165062780680048e-06]
batch [13, 0.00011914581614884062]
bath [2, 1.8330125561360096e-05]
bathroom [1, 9.165062780680048e-06]
bathtub [1, 9.165062780680048e-06]
battery [2, 1.8330125561360096e-05]
battle [2, 1.8330125561360096e-05]
bay [3, 2.7495188342040142e-05]
baz [2, 1.8330125561360096e-05]
bb [9, 8.248556502612044e-05]
bbc [1, 9.165062780680048e-06]
bbs [1, 9.165062780680048e-06]
bbsoda [7, 6.415543946476033e-05]
bcm [1, 9.165062780680048e-06]
bcp [1, 9.165062780680048e-06]
bd [7, 6.415543946476033e-05]
bdjbdgm [1, 9.165062780680048e-06]
bdquery [1, 9.165062780680048e-06]
bdsm [6, 5.4990376684080284e-05]
beach [25, 0.0002291265695170012]
bean [3, 2.7495188342040142e-05]
beanz [1, 9.165062780680048e-06]
bear [8, 7.332050224544038e-05]
beast [1, 9.165062780680048e-06]
beastie [2, 1.8330125561360096e-05]
beasty [2, 1.8330125561360096e-05]
beat [16, 0.00014664100449088077]
beatiful [1, 9.165062780680048e-06]
beatle [1, 9.165062780680048e-06]
beatthe [1, 9.165062780680048e-06]
beautiful [32, 0.00029328200898176153]
beautifully [2, 1.8330125561360096e-05]
beaverton [1, 9.165062780680048e-06]
beck [1, 9.165062780680048e-06]
beckham [1, 9.165062780680048e-06]
become [83, 0.000760700210796444]
bed [3, 2.7495188342040142e-05]
bedford [1, 9.165062780680048e-06]
bee [4, 3.666025112272019e-05]
beeb [3, 2.7495188342040142e-05]
beef [1, 9.165062780680048e-06]
beehive [1, 9.165062780680048e-06]
been [9, 8.248556502612044e-05]
beer [5, 4.582531390340024e-05]
before [169, 0.001548895609934928]
beg [5, 4.582531390340024e-05]
begin [43, 0.00039409769956924204]
beginner [4, 3.666025112272019e-05]
beginning [2, 1.8330125561360096e-05]
behalf [3, 2.7495188342040142e-05]
behavior [2, 1.8330125561360096e-05]
behind [9, 8.248556502612044e-05]
being [3, 2.7495188342040142e-05]
bel [18, 0.00016497113005224087]
beleive [1, 9.165062780680048e-06]
belief [1, 9.165062780680048e-06]
believe [85, 0.000779030336357804]
believer [12, 0.00010998075336816057]
belong [1, 9.165062780680048e-06]
below [196, 0.0017963523050132893]
belt [1, 9.165062780680048e-06]
bem [1, 9.165062780680048e-06]
ben [1, 9.165062780680048e-06]
beneficial [1, 9.165062780680048e-06]
benefit [38, 0.0003482723856658418]
benefits [8, 7.332050224544038e-05]
